Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_008	T008	20	1	1	1.71331	0.775646	1.0071	((5_0_0:0.01958895,((4_0_0:0.00350256,12_0_0:0.00061571):0.00366559,10_0_0:0.00440199):0.00137892):0.12705974,((((13_0_0:0.00002915,9_0_0:0.00002620):0.00156663,7_0_0:0.00391984):0.00796188,8_0_0:0.03604213):0.71000020,(((19_0_0:0.00450236,15_0_0:0.00499714):0.04293914,16_0_0:0.11642042):0.03593766,(20_0_0:0.13457233,((14_0_0:0.00091861,18_0_0:0.00301526):0.06899788,(((1_0_0:0.00132012,(3_0_0:0.00084831,2_0_0:0.00624471):0.00137075):0.05328718,(11_0_0:0.01238123,17_0_0:0.00522613):0.00568664):0.00421988,6_0_0:0.11277484):0.03698901):0.01168272):0.02070639):0.07890282):0.02960413);

dataset_009	T009	20	1	1	1.96944	0.515757	0.925956	((20_0_0:0.11113478,(((18_0_0:0.00673408,8_0_0:0.00769369):0.09847441,19_0_0:0.05553196):0.02477321,(7_0_0:0.00903428,(9_0_0:0.00011496,13_0_0:0.00006791):0.01253648):0.08940309):0.09297659):0.18628135,((17_0_0:0.00928591,11_0_0:0.00709911):0.23417105,((((2_0_0:0.00384716,3_0_0:0.00216876):0.00345692,1_0_0:0.00230434):0.10325867,16_0_0:0.19841667):0.04961028,(15_0_0:0.13499931,((6_0_0:0.05381054,((10_0_0:0.00185791,(4_0_0:0.00170012,12_0_0:0.00229463):0.00199266):0.00446316,5_0_0:0.01609662):0.04198073):0.00811305,14_0_0:0.06112878):0.02149844):0.04340247):0.18897566):0.07875444);

dataset_010	T010	20	1	1	1.09675	0.285603	0.482155	(((16_0_0:0.08500071,((6_0_0:0.04012662,14_0_0:0.01681050):0.01617929,((2_0_0:0.00895918,3_0_0:0.00210200):0.00159233,1_0_0:0.00166342):0.07113491):0.13751859):0.01611599,(((8_0_0:0.00488709,18_0_0:0.00392854):0.07546209,19_0_0:0.04677516):0.01700338,((7_0_0:0.01229316,(9_0_0:0.00003586,13_0_0:0.00005656):0.00520093):0.08089538,(15_0_0:0.01071849,20_0_0:0.00259691):0.02076104):0.02863272):0.05177678):0.05028195,((5_0_0:0.02124243,(10_0_0:0.00139558,(4_0_0:0.00100688,12_0_0:0.00142272):0.00481187):0.00387084):0.07640857,(11_0_0:0.00649378,17_0_0:0.00938294):0.06330087):0.09890087);

dataset_011	T011	20	1	1	2.57362	0.638545	0.950032	(20_0_0:0.29065603,((((17_0_0:0.00936207,11_0_0:0.02206405):0.03463676,((10_0_0:0.00294927,(12_0_0:0.00141084,4_0_0:0.00197961):0.00172700):0.00460288,5_0_0:0.01855928):0.11088058):0.24652198,(((8_0_0:0.00961960,18_0_0:0.01397919):0.09732332,19_0_0:0.08531691):0.02780578,((13_0_0:0.00003837,9_0_0:0.00005094):0.01408156,7_0_0:0.00941793):0.14734925):0.31324494):0.07776562,(((2_0_0:0.00373692,3_0_0:0.00337742):0.00196049,1_0_0:0.00131208):0.24625117,(16_0_0:0.20103993,((14_0_0:0.05961992,6_0_0:0.10289753):0.01956780,15_0_0:0.08095428):0.02900721):0.06550808):0.13099172):0.08605286);

dataset_012	T012	20	1	1	2.42427	0.78338	1.25538	((1_0_0:0.00293952,(3_0_0:0.00163214,2_0_0:0.00594097):0.00420677):0.46185496,(20_0_0:0.26910386,(((((5_0_0:0.01788126,(10_0_0:0.00400199,(4_0_0:0.00245731,12_0_0:0.00163997):0.00200119):0.00729218):0.00037890,16_0_0:0.03080500):0.10110862,(15_0_0:0.04780568,(14_0_0:0.02860413,6_0_0:0.03459361):0.01014368):0.07828938):0.15409392,(11_0_0:0.01510699,17_0_0:0.00614281):0.09279012):0.02665469,((7_0_0:0.00875782,(9_0_0:0.00005645,13_0_0:0.00008304):0.00849143):0.11436449,((18_0_0:0.00631137,8_0_0:0.01324591):0.08210737,19_0_0:0.10358887):0.03990916):0.52315371):0.10623136):0.01049648);

dataset_013	T013	20	1	1	1.83443	0.522279	0.984403	(((((((10_0_0:0.00205024,(12_0_0:0.00117466,4_0_0:0.00158431):0.00176155):0.00181554,(5_0_0:0.00516711,20_0_0:0.00222756):0.01487870):0.04507339,(11_0_0:0.00706606,17_0_0:0.00562818):0.02540589):0.05193366,16_0_0:0.20208192):0.01676975,(15_0_0:0.03068697,(6_0_0:0.04174604,14_0_0:0.01927513):0.01923479):0.06213008):0.17006612,((19_0_0:0.02638668,(8_0_0:0.00591601,18_0_0:0.00534791):0.05397457):0.01937828,((13_0_0:0.00004790,9_0_0:0.00010230):0.00649780,7_0_0:0.00885849):0.10928061):0.27577682):0.12836274,((3_0_0:0.00387133,2_0_0:0.00312828):0.00277218,1_0_0:0.00149273):0.45548048);

